date,platform,abs_orbit,rel_orbit,orbit_state,kp_pct,sk_pct,jeju_pct,id
2023-07-11,SENTINEL-1A,49374,127,ascending,50.0,31.9,0.0,S1A_IW_GRDH_1SDV_20230711T093134_20230711T093204_049374_05EFF6_7FC7_COG
2023-07-06,SENTINEL-1A,49301,54,ascending,34.9,17.0,0.0,S1A_IW_GRDH_1SDV_20230706T092330_20230706T092349_049301_05EDA0_E070_COG
2023-07-04,SENTINEL-1A,49272,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230704T094124_20230704T094158_049272_05ECC3_338F_COG
2023-07-04,SENTINEL-1A,49272,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230704T094055_20230704T094124_049272_05ECC3_ABE4_COG
2023-07-01,SENTINEL-1A,49228,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20230701T091712_20230701T091741_049228_05EB5E_D1DD_COG
2023-08-30,SENTINEL-1A,50103,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20230830T091716_20230830T091745_050103_06077E_4776_COG
2023-08-28,SENTINEL-1A,50074,127,ascending,76.2,36.5,0.0,S1A_IW_GRDH_1SDV_20230828T093230_20230828T093256_050074_06068A_9564_COG
2023-08-28,SENTINEL-1A,50074,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20230828T093205_20230828T093230_050074_06068A_038B_COG
2023-08-28,SENTINEL-1A,50074,127,ascending,49.6,31.0,0.0,S1A_IW_GRDH_1SDV_20230828T093136_20230828T093205_050074_06068A_C97C_COG
2023-08-23,SENTINEL-1A,50001,54,ascending,34.9,17.0,0.0,S1A_IW_GRDH_1SDV_20230823T092333_20230823T092351_050001_0603F1_5296_COG
2023-08-21,SENTINEL-1A,49972,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230821T094126_20230821T094200_049972_06030F_EDFC_COG
2023-08-21,SENTINEL-1A,49972,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230821T094057_20230821T094126_049972_06030F_29BB_COG
2023-08-18,SENTINEL-1A,49928,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20230818T091716_20230818T091745_049928_060179_3D07_COG
2023-08-16,SENTINEL-1A,49899,127,ascending,76.3,36.5,0.0,S1A_IW_GRDH_1SDV_20230816T093230_20230816T093255_049899_06008D_B0B1_COG
2023-08-16,SENTINEL-1A,49899,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20230816T093205_20230816T093230_049899_06008D_59D5_COG
2023-08-16,SENTINEL-1A,49899,127,ascending,49.6,31.0,0.0,S1A_IW_GRDH_1SDV_20230816T093136_20230816T093205_049899_06008D_2CF5_COG
2023-08-11,SENTINEL-1A,49826,54,ascending,34.9,17.0,0.0,S1A_IW_GRDH_1SDV_20230811T092331_20230811T092350_049826_05FDFD_2BDA_COG
2023-08-09,SENTINEL-1A,49797,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230809T094125_20230809T094159_049797_05FD15_8594_COG
2023-08-09,SENTINEL-1A,49797,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230809T094056_20230809T094125_049797_05FD15_F32D_COG
2023-08-06,SENTINEL-1A,49753,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20230806T091715_20230806T091744_049753_05FB8D_41B1_COG
2023-08-04,SENTINEL-1A,49724,127,ascending,76.2,36.5,0.0,S1A_IW_GRDH_1SDV_20230804T093230_20230804T093255_049724_05FAB0_9DE4_COG
2023-08-04,SENTINEL-1A,49724,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20230804T093205_20230804T093230_049724_05FAB0_8450_COG
2023-08-04,SENTINEL-1A,49724,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20230804T093136_20230804T093205_049724_05FAB0_D3A7_COG
2024-07-31,SENTINEL-1A,55003,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20240731T091712_20240731T091741_055003_06B362_6B05_COG
2024-07-29,SENTINEL-1A,54974,127,ascending,76.3,36.6,0.0,S1A_IW_GRDH_1SDV_20240729T093226_20240729T093252_054974_06B26A_C682_COG
2024-07-29,SENTINEL-1A,54974,127,ascending,60.7,55.8,0.0,S1A_IW_GRDH_1SDV_20240729T093201_20240729T093226_054974_06B26A_3905_COG
2024-07-29,SENTINEL-1A,54974,127,ascending,49.6,31.0,0.0,S1A_IW_GRDH_1SDV_20240729T093132_20240729T093201_054974_06B26A_3460_COG
2024-07-24,SENTINEL-1A,54901,54,ascending,55.3,0.0,0.0,S1A_IW_GRDH_1SDV_20240724T092513_20240724T092538_054901_06AFD4_E47C_COG
2024-07-24,SENTINEL-1A,54901,54,ascending,61.2,0.0,0.0,S1A_IW_GRDH_1SDV_20240724T092448_20240724T092513_054901_06AFD4_40AC_COG
2024-07-24,SENTINEL-1A,54901,54,ascending,45.6,27.3,0.0,S1A_IW_GRDH_1SDV_20240724T092423_20240724T092448_054901_06AFD4_81F7_COG
2024-07-24,SENTINEL-1A,54901,54,ascending,69.3,60.3,0.0,S1A_IW_GRDH_1SDV_20240724T092358_20240724T092423_054901_06AFD4_4A66_COG
2024-07-24,SENTINEL-1A,54901,54,ascending,46.2,31.7,0.0,S1A_IW_GRDH_1SDV_20240724T092329_20240724T092358_054901_06AFD4_0C34_COG
2024-07-22,SENTINEL-1A,54872,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20240722T094123_20240722T094157_054872_06AED0_925C_COG
2024-07-22,SENTINEL-1A,54872,25,ascending,20.5,0.0,0.0,S1A_IW_GRDH_1SDV_20240722T094054_20240722T094123_054872_06AED0_79C8_COG
2024-07-19,SENTINEL-1A,54828,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20240719T091712_20240719T091741_054828_06AD48_0239_COG
2024-07-17,SENTINEL-1A,54799,127,ascending,76.3,36.6,0.0,S1A_IW_GRDH_1SDV_20240717T093226_20240717T093252_054799_06AC4E_482F_COG
2024-07-17,SENTINEL-1A,54799,127,ascending,60.7,55.8,0.0,S1A_IW_GRDH_1SDV_20240717T093201_20240717T093226_054799_06AC4E_5EF4_COG
2024-07-17,SENTINEL-1A,54799,127,ascending,49.6,31.1,0.0,S1A_IW_GRDH_1SDV_20240717T093132_20240717T093201_054799_06AC4E_A7E7_COG
